multiplier,anchor_config,common_basket_tasks,proxy_budget_construction,attempts,conditional_successful_spend_usd,config,failures,model,pass_rate,pass_rate_rank,proxy_failure_charge_cpsc_rank,proxy_failure_charge_cpsc_usd,proxy_failure_charge_reliability_tax_share,proxy_failure_charge_reliability_tax_usd,reasoning_effort,successes,task_coverage_rate,total_proxy_failure_charge_usd
0.5,mini_swe_agent_gpt_5_6_sol_max,97,median_anchor_success_spend_by_task,371,9.368031854779412,mini_swe_agent_claude_fable_5_high,99,claude-fable-5,0.7331536388140162,8.0,26.0,10.628379562500001,0.11858324218749769,1.2603477077205882,high,272,0.8969072164948454,2890.919241
0.5,mini_swe_agent_gpt_5_6_sol_max,97,median_anchor_success_spend_by_task,371,3.4943292805907173,mini_swe_agent_claude_fable_5_low,134,claude-fable-5,0.6388140161725068,15.0,11.0,5.847131925105486,0.40238576359337436,2.352802644514768,low,237,0.845360824742268,1385.77026625
0.5,mini_swe_agent_gpt_5_6_sol_max,97,median_anchor_success_spend_by_task,374,21.774767368231046,mini_swe_agent_claude_fable_5_max,97,claude-fable-5,0.7406417112299465,7.0,37.0,22.988409711191334,0.05279366246763287,1.2136423429602887,max,277,0.8556701030927835,6367.789489999999
0.5,mini_swe_agent_gpt_5_6_sol_max,97,median_anchor_success_spend_by_task,375,6.106134624528302,mini_swe_agent_claude_fable_5_medium,110,claude-fable-5,0.7066666666666667,11.0,17.0,7.676071952830188,0.2045235294756515,1.5699373283018867,medium,265,0.8762886597938144,2034.1590675
0.5,mini_swe_agent_gpt_5_6_sol_max,97,median_anchor_success_spend_by_task,388,13.383554768041236,mini_swe_agent_claude_fable_5_xhigh,97,claude-fable-5,0.75,5.0,34.0,14.542962058419244,0.07972291241087301,1.1594072903780068,xhigh,291,0.9072164948453608,4232.001959
0.5,mini_swe_agent_gpt_5_6_sol_max,97,median_anchor_success_spend_by_task,388,4.331377458715596,mini_swe_agent_claude_opus_4_8_high,170,claude-opus-4-8,0.5618556701030928,21.5,15.0,7.4683880722477065,0.42003851208390497,3.13701061353211,high,218,0.8350515463917526,1628.10859975
0.5,mini_swe_agent_gpt_5_6_sol_max,97,median_anchor_success_spend_by_task,387,2.1103214460227275,mini_swe_agent_claude_opus_4_8_low,211,claude-opus-4-8,0.45478036175710596,29.0,16.0,7.580916789772728,0.7216271455624308,5.4705953437499995,low,176,0.7422680412371134,1334.241355
0.5,mini_swe_agent_gpt_5_6_sol_max,97,median_anchor_success_spend_by_task,370,13.254031469791666,mini_swe_agent_claude_opus_4_8_max,130,claude-opus-4-8,0.6486486486486487,14.0,35.0,15.453489308333333,0.1423275866477355,2.199457838541667,max,240,0.845360824742268,3708.837434
0.5,mini_swe_agent_gpt_5_6_sol_max,97,median_anchor_success_spend_by_task,388,3.4113297367149764,mini_swe_agent_claude_opus_4_8_medium,181,claude-opus-4-8,0.5335051546391752,24.0,14.0,6.939946332125604,0.508450127211555,3.528616595410628,medium,207,0.8144329896907216,1436.56889075
0.5,mini_swe_agent_gpt_5_6_sol_max,97,median_anchor_success_spend_by_task,383,8.017662375,mini_swe_agent_claude_opus_4_8_xhigh,155,claude-opus-4-8,0.5953002610966057,18.0,27.0,10.731574673245614,0.2528904080602022,2.713912298245614,xhigh,228,0.8556701030927835,2446.7990255
