attempt_cost_pareto_frontier,attempts,conditional_failed_spend_usd,conditional_successful_spend_usd,config,failures,harness,imputed_cost_rows,mean_cost_per_attempt_usd,model,observed_cost_rows,pass_rate,pass_rate_rank,provider,rank_displacement,realized_cpsc_rank,realized_cpsc_usd,realized_reliability_tax_share,realized_reliability_tax_usd,reasoning_effort,successes,total_cost_usd
False,430,8.322606498956704,9.568923915254238,mini_swe_agent_claude_fable_5_high,135,mini-swe-agent,4,9.177638214788733,claude-fable-5,426,0.686046511627907,7.0,vertex_ai,24.0,31.0,13.377574346980188,0.2847041124899973,3.8086504317259493,high,295,3946.384432359155
False,433,3.991755962877123,3.599231666666667,mini_swe_agent_claude_fable_5_low,175,mini-swe-agent,4,3.757873125874126,claude-fable-5,429,0.5958429561200924,14.0,vertex_ai,2.0,16.0,6.306818075594948,0.4293110054031269,2.707586408928281,low,258,1627.1590635034966
False,436,20.843825658108866,21.978108965460525,mini_swe_agent_claude_fable_5_max,132,mini-swe-agent,4,21.63470209259259,claude-fable-5,432,0.6972477064220184,4.0,vertex_ai,35.0,39.0,31.028717474902535,0.2916849050162179,9.050608509442007,max,304,9432.730112370371
False,436,6.057538570302919,6.104424570175438,mini_swe_agent_claude_fable_5_medium,151,mini-swe-agent,4,6.088186528935185,claude-fable-5,432,0.6536697247706422,10.0,vertex_ai,16.0,26.0,9.31385728637102,0.34458684705121573,3.2094327161955816,medium,285,2654.4493266157406
False,452,12.963830066045167,13.60848995886076,mini_swe_agent_claude_fable_5_xhigh,136,mini-swe-agent,4,13.414521495535714,claude-fable-5,448,0.6991150442477876,3.0,vertex_ai,32.0,35.0,19.187859860702982,0.29077603976402056,5.579369901842224,xhigh,316,6063.363715982143
False,452,4.230920077981652,4.329471414529914,mini_swe_agent_claude_opus_4_8_high,218,mini-swe-agent,0,4.281940017699115,claude-opus-4-8,452,0.5176991150442478,21.5,anthropic,1.5,23.0,8.271097811965811,0.476554199580803,3.941626397435898,high,234,1935.436888
False,451,2.410961234082397,2.1227329741847827,mini_swe_agent_claude_opus_4_8_low,267,mini-swe-agent,0,2.2933692167405764,claude-opus-4-8,451,0.4079822616407982,29.0,anthropic,-14.0,15.0,5.621247373641305,0.6223733215978842,3.4985143994565213,low,184,1034.30951675
False,429,13.124020295454544,13.291149365612648,mini_swe_agent_claude_opus_4_8_max,176,mini-swe-agent,0,13.222583593240094,claude-opus-4-8,429,0.5897435897435898,15.0,anthropic,22.0,37.0,22.420902614624506,0.4071982919660328,9.129753249011857,max,253,5672.4883615
False,452,3.4696523976293103,3.416654792045455,mini_swe_agent_claude_opus_4_8_medium,232,mini-swe-agent,0,3.4438571028761062,claude-opus-4-8,452,0.48672566371681414,24.0,anthropic,-6.0,18.0,7.075560956818182,0.5171188810474336,3.658906164772727,medium,220,1556.6234105
False,447,7.964942018382353,8.041122748971194,mini_swe_agent_claude_opus_4_8_xhigh,204,mini-swe-agent,0,8.006355704138702,claude-opus-4-8,447,0.5436241610738255,17.0,anthropic,15.0,32.0,14.727740739711933,0.4540151886779837,6.68661799074074,xhigh,243,3578.84099975
False,451,5.519482631962025,5.529067774444444,mini_swe_agent_claude_sonnet_4_6_high,316,mini-swe-agent,0,5.5223517987804875,claude-sonnet-4-6,451,0.29933481152993346,36.0,anthropic,-2.0,34.0,18.44874563888889,0.7003011541993678,12.919677864444443,high,135,2490.58066125
False,452,7.301223471153846,7.559022479867878,mini_swe_agent_claude_sonnet_5_high,234,mini-swe-agent,1,7.425560161197339,claude-sonnet-5,451,0.4823008849557522,25.0,anthropic,8.0,33.0,15.396115563583475,0.5090305441882185,7.8370930837155965,high,218,3356.3531928611974
False,449,2.300044630769231,1.9280971357664234,mini_swe_agent_claude_sonnet_5_low,312,mini-swe-agent,0,2.1865550832962137,claude-sonnet-5,449,0.3051224944320713,35.0,anthropic,-15.0,20.0,7.166154981021898,0.7309439802973008,5.238057845255474,low,137,981.7632324
False,442,25.010648916911762,27.59061040840336,mini_swe_agent_claude_sonnet_5_max,204,mini-swe-agent,0,26.399858950791856,claude-sonnet-5,442,0.5384615384615384,19.0,anthropic,21.0,40.0,49.02830948004201,0.43725144307423675,21.43769907163865,max,238,11668.73765625
False,450,4.127530100369004,4.005618133240223,mini_swe_agent_claude_sonnet_5_medium,271,mini-swe-agent,0,4.079036229,claude-sonnet-5,450,0.3977777777777778,30.0,anthropic,-3.0,27.0,10.254560352234638,0.6093817778967643,6.248942218994413,medium,179,1835.56630305
False,451,11.283774728854626,12.505621937946428,mini_swe_agent_claude_sonnet_5_xhigh,227,mini-swe-agent,0,11.890634540022173,claude-sonnet-5,451,0.49667405764966743,23.0,anthropic,15.0,38.0,23.940518649776784,0.4776378022176631,11.434896711830358,xhigh,224,5362.67617755
False,451,9.066408922110552,12.59875857735849,mini_swe_agent_gemini_3_1_pro_preview_high,398,mini-swe-agent,0,9.481518748558758,gemini-3-1-pro-preview,451,0.11751662971175167,39.0,vertex_ai,2.0,41.0,80.68235765283019,0.8438474166611497,68.0835990754717,high,53,4276.1649556
False,452,7.7404378749116605,6.674322620414201,mini_swe_agent_gemini_3_5_flash_medium,283,mini-swe-agent,0,7.341823985508849,gemini-3-5-flash,452,0.37389380530973454,31.0,vertex_ai,5.0,36.0,19.636120955325442,0.6600997398824802,12.961798334911242,medium,169,3318.50444145
False,452,3.0423313262500002,2.4723294124390245,mini_swe_agent_glm_5_2_high,288,mini-swe-agent,0,2.8355164725663715,glm-5-2,452,0.36283185840707965,32.0,zai,-11.0,21.0,7.814960034146341,0.6836414515702529,5.342630621707317,high,164,1281.6534456
False,450,3.875285297549407,3.9772143561421323,mini_swe_agent_glm_5_2_max,253,mini-swe-agent,0,3.9199075743111114,glm-5-2,450,0.43777777777777777,28.0,zai,-4.0,24.0,8.954103596142133,0.5558221642805526,4.97688924,max,197,1763.95840844
False,452,5.372920458715597,5.912881331196581,mini_swe_agent_gpt_5_4_xhigh,218,mini-swe-agent,0,5.6524577245575225,gpt-5-4,452,0.5176991150442478,21.5,openai,7.5,29.0,10.918422613247865,0.4584491239584197,5.005541282051283,xhigh,234,2554.9108915
False,452,5.154889832298137,5.0703101821305845,mini_swe_agent_gpt_5_5_high,161,mini-swe-agent,0,5.100437004424779,gpt-5-5,452,0.6438053097345132,11.0,openai,11.0,22.0,7.9223282680412375,0.35999746405557653,2.8520180859106534,high,291,2305.397526
False,452,1.2344115787878789,1.1076699098360656,mini_swe_agent_gpt_5_5_low,330,mini-swe-agent,0,1.2002025442477877,gpt-5-5,452,0.26991150442477874,37.0,openai,-27.0,10.0,4.4466520491803285,0.7508980020057455,3.338982139344263,low,122,542.4915500000001
False,452,2.775275875,2.7272357950819672,mini_swe_agent_gpt_5_5_medium,208,mini-swe-agent,0,2.7493427345132746,gpt-5-5,452,0.5398230088495575,18.0,openai,-4.0,14.0,5.0930447377049175,0.4645176047852776,2.3658089426229507,medium,244,1242.702916
False,452,6.55605865771812,7.555796161716172,mini_swe_agent_gpt_5_5_xhigh,149,mini-swe-agent,0,7.226236674778761,gpt-5-5,452,0.6703539823008849,9.0,openai,19.0,28.0,10.779732597359736,0.2990738783662591,3.223936435643564,xhigh,303,3266.258977
True,452,0.7980405261904762,0.752524632,mini_swe_agent_gpt_5_6_luna_high,252,mini-swe-agent,0,0.77790075,gpt-5-6-luna,452,0.4424778761061947,27.0,openai,-25.0,2.0,1.758055695,0.5719563184828454,1.005531063,high,200,351.611139
