attempt_cost_pareto_frontier,attempts,conditional_failed_spend_usd,conditional_successful_spend_usd,config,failures,harness,imputed_cost_rows,mean_cost_per_attempt_usd,model,observed_cost_rows,pass_rate,pass_rate_rank,provider,rank_displacement,realized_cpsc_rank,realized_cpsc_usd,realized_reliability_tax_share,realized_reliability_tax_usd,reasoning_effort,successes,total_cost_usd
True,452,0.7980405261904762,0.752524632,mini_swe_agent_gpt_5_6_luna_high,252,mini-swe-agent,0,0.77790075,gpt-5-6-luna,452,0.4424778761061947,27.0,openai,-25.0,2.0,1.758055695,0.5719563184828454,1.005531063,high,200,351.611139
True,452,0.07253270696629213,0.06436651428571429,mini_swe_agent_gpt_5_6_luna_low,445,mini-swe-agent,0,0.07240623938053098,gpt-5-6-luna,452,0.015486725663716814,41.0,openai,-29.0,12.0,4.675374314285714,0.9862328639465207,4.611007799999999,low,7,32.7276202
True,448,2.931728413605442,3.0751902132890367,mini_swe_agent_gpt_5_6_luna_max,147,mini-swe-agent,0,3.028116810267857,gpt-5-6-luna,448,0.671875,8.0,openai,3.0,11.0,4.506964554817276,0.3176804086461885,1.4317743415282391,max,301,1356.596331
True,452,0.21937230024937657,0.19223005098039217,mini_swe_agent_gpt_5_6_luna_medium,401,mini-swe-agent,0,0.21630978982300886,gpt-5-6-luna,452,0.11283185840707964,40.0,openai,-36.0,4.0,1.9170985294117646,0.8997286534670833,1.7248684784313726,medium,51,97.772025
True,452,1.523189392820513,1.5450504972762646,mini_swe_agent_gpt_5_6_luna_xhigh,195,mini-swe-agent,0,1.5356192685840708,gpt-5-6-luna,452,0.5685840707964602,16.0,openai,-9.0,7.0,2.7007778575875485,0.4279238875809022,1.155727360311284,xhigh,257,694.0999094
True,451,3.5523313333333335,3.433460092651757,mini_swe_agent_gpt_5_6_sol_high,138,mini-swe-agent,0,3.469833110864745,gpt-5-6-sol,451,0.6940133037694013,6.0,openai,7.0,13.0,4.99966368370607,0.3132617892196587,1.5662035910543133,high,313,1564.894733
True,452,1.1008820971659918,1.0421978731707318,mini_swe_agent_gpt_5_6_sol_low,247,mini-swe-agent,0,1.0742664646017699,gpt-5-6-sol,452,0.45353982300884954,26.0,openai,-20.0,6.0,2.3686265463414635,0.5599990742396722,1.3264286731707315,low,205,485.568442
True,450,8.456175487804877,8.36020419266055,mini_swe_agent_gpt_5_6_sol_max,123,mini-swe-agent,0,8.386436346666667,gpt-5-6-sol,450,0.7266666666666667,1.0,openai,29.0,30.0,11.540967449541284,0.27560629304150397,3.180763256880734,max,327,3773.896356
True,452,1.859254125,1.8638030833333334,mini_swe_agent_gpt_5_6_sol_medium,176,mini-swe-agent,0,1.8620318075221238,gpt-5-6-sol,452,0.6106194690265486,12.0,openai,-4.0,8.0,3.0494144094202897,0.38879967328295917,1.1856113260869565,medium,276,841.638377
True,451,4.702428174242424,4.704175178683386,mini_swe_agent_gpt_5_6_sol_xhigh,132,mini-swe-agent,0,4.703663860310422,gpt-5-6-sol,451,0.7073170731707317,2.0,openai,15.0,17.0,6.650007526645768,0.2926060369353974,1.9458323479623825,xhigh,319,2121.352401
True,452,1.1799119449760767,1.095211853909465,mini_swe_agent_gpt_5_6_terra_high,209,mini-swe-agent,0,1.1343762765486725,gpt-5-6-terra,452,0.5376106194690266,20.0,openai,-15.0,5.0,2.1100332386831275,0.4809504258838183,1.0148213847736627,high,243,512.738077
True,449,0.43897486656891493,0.39228881944444444,mini_swe_agent_gpt_5_6_terra_low,341,mini-swe-agent,0,0.4277452605790646,gpt-5-6-terra,449,0.24053452115812918,38.0,openai,-35.0,3.0,1.7783113148148149,0.7794037432161895,1.3860224953703704,low,108,192.057622
True,450,0.5914150479452055,0.5681583670886076,mini_swe_agent_gpt_5_6_terra_medium,292,mini-swe-agent,0,0.5832493688888889,gpt-5-6-terra,450,0.3511111111111111,33.0,openai,-32.0,1.0,1.661153265822785,0.6579735423707617,1.0929948987341773,medium,158,262.462216
