config,minimum_pass_rate,selection_count,selection_share_all_replicates,selection_share_when_defined
mini_swe_agent_gpt_5_6_terra_medium,0.0,4928,0.4928,0.4928
mini_swe_agent_gpt_5_6_terra_low,0.0,2020,0.202,0.202
mini_swe_agent_gpt_5_6_luna_high,0.0,1957,0.1957,0.1957
mini_swe_agent_gpt_5_6_luna_medium,0.0,1094,0.1094,0.1094
mini_swe_agent_gpt_5_6_luna_low,0.0,1,0.0001,0.0001
mini_swe_agent_gpt_5_6_terra_medium,0.05,4928,0.4928,0.4928
mini_swe_agent_gpt_5_6_terra_low,0.05,2021,0.2021,0.2021
mini_swe_agent_gpt_5_6_luna_high,0.05,1957,0.1957,0.1957
mini_swe_agent_gpt_5_6_luna_medium,0.05,1094,0.1094,0.1094
mini_swe_agent_gpt_5_6_terra_medium,0.1,4928,0.4928,0.4928
mini_swe_agent_gpt_5_6_terra_low,0.1,2021,0.2021,0.2021
mini_swe_agent_gpt_5_6_luna_high,0.1,1957,0.1957,0.1957
mini_swe_agent_gpt_5_6_luna_medium,0.1,1094,0.1094,0.1094
mini_swe_agent_gpt_5_6_terra_medium,0.15,5361,0.5361,0.5361
mini_swe_agent_gpt_5_6_terra_low,0.15,2228,0.2228,0.2228
mini_swe_agent_gpt_5_6_luna_high,0.15,2089,0.2089,0.2089
mini_swe_agent_gpt_5_6_luna_medium,0.15,322,0.0322,0.0322
mini_swe_agent_gpt_5_6_terra_medium,0.2,5554,0.5554,0.5554
mini_swe_agent_gpt_5_6_terra_low,0.2,2334,0.2334,0.2334
mini_swe_agent_gpt_5_6_luna_high,0.2,2111,0.2111,0.2111
mini_swe_agent_gpt_5_6_luna_medium,0.2,1,0.0001,0.0001
mini_swe_agent_gpt_5_6_terra_medium,0.25,5852,0.5852,0.5852
mini_swe_agent_gpt_5_6_luna_high,0.25,2314,0.2314,0.2314
mini_swe_agent_gpt_5_6_terra_low,0.25,1834,0.1834,0.1834
mini_swe_agent_gpt_5_6_terra_medium,0.3,6868,0.6868,0.6868
mini_swe_agent_gpt_5_6_luna_high,0.3,2867,0.2867,0.2867
mini_swe_agent_gpt_5_6_terra_low,0.3,262,0.0262,0.0262
mini_swe_agent_gpt_5_6_terra_high,0.3,3,0.0003,0.0003
mini_swe_agent_gpt_5_6_luna_high,0.35,5579,0.5579,0.5579
mini_swe_agent_gpt_5_6_terra_medium,0.35,4375,0.4375,0.4375
mini_swe_agent_gpt_5_6_terra_high,0.35,41,0.0041,0.0041
mini_swe_agent_gpt_5_6_terra_low,0.35,3,0.0003,0.0003
mini_swe_agent_gpt_5_6_sol_low,0.35,2,0.0002,0.0002
mini_swe_agent_gpt_5_6_luna_high,0.4,8387,0.8387,0.8387
mini_swe_agent_gpt_5_6_terra_high,0.4,906,0.0906,0.0906
mini_swe_agent_gpt_5_6_terra_medium,0.4,679,0.0679,0.0679
mini_swe_agent_gpt_5_6_sol_low,0.4,28,0.0028,0.0028
mini_swe_agent_gpt_5_6_terra_high,0.45,5689,0.5689,0.5689
mini_swe_agent_gpt_5_6_luna_high,0.45,4045,0.4045,0.4045
mini_swe_agent_gpt_5_6_sol_low,0.45,190,0.019,0.019
mini_swe_agent_gpt_5_6_luna_xhigh,0.45,52,0.0052,0.0052
mini_swe_agent_gpt_5_6_terra_medium,0.45,19,0.0019,0.0019
mini_swe_agent_gpt_5_6_sol_medium,0.45,5,0.0005,0.0005
mini_swe_agent_gpt_5_6_terra_high,0.5,8176,0.8176,0.8176
mini_swe_agent_gpt_5_6_luna_xhigh,0.5,1027,0.1027,0.1027
mini_swe_agent_gpt_5_6_luna_high,0.5,453,0.0453,0.0453
mini_swe_agent_gpt_5_6_sol_medium,0.5,169,0.0169,0.0169
mini_swe_agent_gpt_5_6_sol_low,0.5,167,0.0167,0.0167
mini_swe_agent_gpt_5_6_terra_xhigh,0.5,5,0.0005,0.0005
mini_swe_agent_gpt_5_6_luna_max,0.5,3,0.0003,0.0003
mini_swe_agent_gpt_5_6_luna_xhigh,0.55,3783,0.3783,0.3783
mini_swe_agent_gpt_5_6_terra_high,0.55,3515,0.3515,0.3515
mini_swe_agent_gpt_5_6_sol_medium,0.55,2315,0.2315,0.2315
mini_swe_agent_gpt_5_6_luna_max,0.55,202,0.0202,0.0202
mini_swe_agent_gpt_5_6_terra_xhigh,0.55,153,0.0153,0.0153
mini_swe_agent_gpt_5_6_sol_low,0.55,13,0.0013,0.0013
mini_swe_agent_gpt_5_6_sol_high,0.55,12,0.0012,0.0012
mini_swe_agent_gpt_5_6_luna_high,0.55,7,0.0007,0.0007
mini_swe_agent_gpt_5_6_sol_medium,0.6,4261,0.4261,0.42614261426142613
