comparison_panel_configurations,excluded_model_group,panel_solving_configurations,stratum,task_name
26,gpt-5-6,24,common,abs-module-cache-flags
26,gpt-5-6,22,common,abs-stepped-slices
26,gpt-5-6,26,common,actionlint-action-pinning-lint
26,gpt-5-6,21,common,adaptix-name-mapping-aliases
26,gpt-5-6,22,common,aiomonitor-task-snapshots-diff
26,gpt-5-6,25,common,anko-default-function-arguments
26,gpt-5-6,19,contested,anko-typed-variable-bindings
26,gpt-5-6,23,common,arcane-drift-detection-baselines
26,gpt-5-6,19,contested,arktype-json-schema-refs-dependencies
26,gpt-5-6,17,contested,awilix-async-container-initialization
26,gpt-5-6,17,contested,bandit-incremental-cache-control
26,gpt-5-6,21,common,bandit-interprocedural-taint-checks
26,gpt-5-6,5,rare,bandit-structured-nosec-directives
26,gpt-5-6,18,contested,boa-hierarchical-evaluation-cancellation
26,gpt-5-6,22,common,cattrs-partial-structuring-recovery
26,gpt-5-6,19,contested,clack-async-autocomplete-options
26,gpt-5-6,23,common,claude-code-by-agents-recursive-delegation
26,gpt-5-6,19,contested,cliffy-config-file-parsing
26,gpt-5-6,13,rare,csstree-shorthand-expansion-compression
26,gpt-5-6,21,common,dasel-html-document-format
26,gpt-5-6,12,rare,dateutil-rfc5545-timezone-interop
26,gpt-5-6,25,common,drizzle-orm-window-function-builders
26,gpt-5-6,24,common,dynamodb-toolbox-conditional-attribute-requirements
26,gpt-5-6,22,common,dynamodb-toolbox-lazy-recursive-schemas
26,gpt-5-6,10,rare,effect-sse-httpapi-streaming
26,gpt-5-6,15,contested,eicrud-keyset-pagination-cursor
26,gpt-5-6,24,common,etree-xml-diff-patch
26,gpt-5-6,12,rare,expr-try-catch-errors
26,gpt-5-6,19,contested,fastapi-deprecation-response-headers
26,gpt-5-6,21,common,fastapi-implicit-head-options
26,gpt-5-6,21,common,fd-deterministic-multi-key-sorting
26,gpt-5-6,22,common,geo-shapeindex-serialization
26,gpt-5-6,21,common,go-critic-doc-link-checker
26,gpt-5-6,22,common,go-genai-streamed-function-args
26,gpt-5-6,20,common,go-git-worktree-merge-conflicts
26,gpt-5-6,26,common,goreleaser-retry-publish-auditing
26,gpt-5-6,4,rare,gql-incremental-graphql-delivery
26,gpt-5-6,26,common,happy-dom-abort-pending-body-reads
26,gpt-5-6,15,contested,happy-dom-deterministic-intersectionobserver
26,gpt-5-6,12,rare,helm-array-merge-strategies
26,gpt-5-6,25,common,helm-unified-manifest-stream
26,gpt-5-6,25,common,httpx-deterministic-cookie-store
26,gpt-5-6,22,common,httpx-multipart-response-parsing
26,gpt-5-6,19,contested,httpx-streaming-json-iteration
26,gpt-5-6,21,common,igel-persist-feature-schema
26,gpt-5-6,18,contested,ink-grid-box-layout
26,gpt-5-6,20,common,ipython-session-bundle-replay
26,gpt-5-6,13,rare,katex-multicolumn-array-spans
26,gpt-5-6,24,common,kcp-go-multiplexed-kcp-streams
26,gpt-5-6,16,contested,kea-atomic-signal-selectors
26,gpt-5-6,17,contested,kgateway-consistent-hash-policy
26,gpt-5-6,18,contested,kombu-single-active-consumer-priority
26,gpt-5-6,10,rare,kombu-virtual-queue-dead-lettering
26,gpt-5-6,13,rare,koota-composite-trait-aspects
26,gpt-5-6,8,rare,koota-deferred-mutation-buffer
26,gpt-5-6,25,common,koota-entity-snapshot-rollback
26,gpt-5-6,13,rare,koota-pair-relation-tracking
26,gpt-5-6,15,contested,koota-query-predicates
26,gpt-5-6,22,common,kysely-window-grouping-helpers
26,gpt-5-6,17,contested,langchain-request-coalescing
26,gpt-5-6,16,contested,mashumaro-flattened-dataclass-fields
26,gpt-5-6,8,rare,meriyah-explicit-resource-declarations
26,gpt-5-6,19,contested,mnamer-daemon-watch-lifecycle
26,gpt-5-6,21,common,mobly-grouped-test-barriers
26,gpt-5-6,25,common,narwhals-rolling-window-suite
26,gpt-5-6,21,common,numba-stencil-boundary-modes
26,gpt-5-6,1,rare,obsidian-linter-auto-table-of-contents
26,gpt-5-6,17,contested,obsidian-linter-link-format-conversion
26,gpt-5-6,25,common,obsidian-linter-scoped-ignore-markers
26,gpt-5-6,24,common,ofetch-per-origin-circuit-breaker
26,gpt-5-6,20,common,onedump-dump-encryption-pipeline
26,gpt-5-6,23,common,opa-rego-rule-profiling
26,gpt-5-6,23,common,opa-template-string-reconstruction
26,gpt-5-6,10,rare,optique-conditional-option-dependencies
26,gpt-5-6,9,rare,oxvg-structural-selector-preservation
26,gpt-5-6,15,contested,participle-grammar-conflict-analysis
