attempts,comparison_panel_configurations,conditional_failed_spend_usd,conditional_successful_spend_usd,config,excluded_model_group,failures,harness,imputed_cost_rows,mean_cost_per_attempt_usd,model,observed_cost_rows,pass_rate,pass_rate_rank,provider,rank_displacement,realized_cpsc_rank,realized_cpsc_usd,realized_reliability_tax_share,realized_reliability_tax_usd,reasoning_effort,stratum,successes,task_coverage_rate,tasks_in_stratum,tasks_with_any_success,total_cost_usd
80,26,0.9356824746268657,0.8664093230769231,mini_swe_agent_gpt_5_6_luna_high,gpt-5-6,67,mini-swe-agent,0,0.9244255875,gpt-5-6-luna,80,0.1625,10.0,openai,-8.0,2.0,5.688772846153847,0.8476983795085615,4.822363523076923,high,rare,13,0.45,20,9,73.954047
80,26,0.075999075,,mini_swe_agent_gpt_5_6_luna_low,gpt-5-6,80,mini-swe-agent,0,0.075999075,gpt-5-6-luna,80,0.0,15.0,openai,,,,,,low,rare,0,0.0,20,0,6.079926
80,26,3.9814852341463416,4.172182656410256,mini_swe_agent_gpt_5_6_luna_max,gpt-5-6,41,mini-swe-agent,0,4.0744502275,gpt-5-6-luna,80,0.4875,1.0,openai,5.0,6.0,8.35784662051282,0.5008065060478151,4.185663964102565,max,rare,39,0.8,20,16,325.9560182
80,26,0.22961031139240506,0.2176264,mini_swe_agent_gpt_5_6_luna_medium,gpt-5-6,79,mini-swe-agent,0,0.2294605125,gpt-5-6-luna,80,0.0125,14.0,openai,-1.0,13.0,18.356841,0.9881446704255923,18.1392146,medium,rare,1,0.05,20,1,18.356841
80,26,1.927569056140351,1.9792628608695653,mini_swe_agent_gpt_5_6_luna_xhigh,gpt-5-6,57,mini-swe-agent,0,1.942431025,gpt-5-6-luna,80,0.2875,7.0,openai,-4.0,3.0,6.756281826086957,0.7070485051071504,4.777018965217391,xhigh,rare,23,0.55,20,11,155.394482
80,26,3.9619396956521737,3.6999607647058825,mini_swe_agent_gpt_5_6_sol_high,gpt-5-6,46,mini-swe-agent,0,3.85059865,gpt-5-6-sol,80,0.425,4.5,openai,2.5,7.0,9.06023211764706,0.5916262721901697,5.360271352941177,high,rare,34,0.6,20,12,308.047892
80,26,1.333187929577465,0.9267246666666666,mini_swe_agent_gpt_5_6_sol_low,gpt-5-6,71,mini-swe-agent,0,1.2874608125,gpt-5-6-sol,80,0.1125,11.0,openai,-1.0,10.0,11.444096111111111,0.9190215935213175,10.517371444444446,low,rare,9,0.35,20,7,102.996865
80,26,9.511150695652175,8.538497588235295,mini_swe_agent_gpt_5_6_sol_max,gpt-5-6,46,mini-swe-agent,0,9.097773125,gpt-5-6-sol,80,0.425,4.5,openai,9.5,14.0,21.406525000000002,0.6011264047651221,12.868027411764707,max,rare,34,0.55,20,11,727.82185
80,26,2.272315672727273,2.04053672,mini_swe_agent_gpt_5_6_sol_medium,gpt-5-6,55,mini-swe-agent,0,2.19988475,gpt-5-6-sol,80,0.3125,6.0,openai,-2.0,4.0,7.0396312,0.7101358491620984,4.999094480000001,medium,rare,25,0.55,20,11,175.99078
79,26,5.492206863636364,5.008320628571429,mini_swe_agent_gpt_5_6_sol_xhigh,gpt-5-6,44,mini-swe-agent,0,5.27782688607595,gpt-5-6-sol,79,0.4430379746835443,2.0,openai,9.0,11.0,11.912809257142857,0.5795852581482016,6.904488628571428,xhigh,rare,35,0.7,20,14,416.948324
