config,config_mean_attempt_cost_pareto_frontier,config_mean_cpsc_rank,config_mean_cpsc_rank_change,excluded_attempts,excluded_error_categories,excluded_missing_cost_rows,excluded_reported_cost_rows,excluded_reported_cost_usd,excluded_task_cells,exclusions_as_failures_config_mean_attempt_cost_usd,exclusions_as_failures_config_mean_cost_cpsc_usd,exclusions_as_failures_observed_cost_cpsc_lower_bound_usd,exclusions_as_failures_pass_rate,included_attempt_cost_pareto_frontier,included_attempts,included_cpsc_rank,included_cpsc_usd,included_pass_rate,included_successes,source_attempts,tasks_with_all_attempts_excluded
mini_swe_agent_claude_fable_5_high,False,31.0,0.0,22,"{""model_routing_404"": 22}",22,0,0,22,9.177638214788733,14.062008383337313,13.377574346980188,0.6526548672566371,False,430,31.0,13.377574346980188,0.686046511627907,295,452,0
mini_swe_agent_claude_fable_5_low,False,16.0,0.0,19,"{""model_routing_404"": 19}",19,0,0,19,3.757873125874126,6.583560670136065,6.306818075594948,0.5707964601769911,False,433,16.0,6.306818075594948,0.5958429561200924,258,452,0
mini_swe_agent_claude_fable_5_max,False,39.0,0.0,16,"{""model_routing_404"": 16}",16,0,0,16,21.634702092592597,32.167386006091625,31.028717474902535,0.672566371681416,False,436,39.0,31.028717474902535,0.6972477064220184,304,452,0
mini_swe_agent_claude_fable_5_medium,False,26.0,0.0,16,"{""model_routing_404"": 16}",15,1,36.3237815,16,6.155079438163205,9.761740021227258,9.441309151283301,0.6305309734513275,False,436,26.0,9.31385728637102,0.6536697247706422,285,452,0
mini_swe_agent_claude_fable_5_xhigh,False,35.0,0.0,0,{},0,0,0,0,13.414521495535714,19.187859860702982,19.187859860702982,0.6991150442477876,False,452,35.0,19.187859860702982,0.6991150442477876,316,452,0
mini_swe_agent_claude_opus_4_8_high,False,23.0,0.0,0,{},0,0,0,0,4.281940017699115,8.271097811965811,8.271097811965811,0.5176991150442478,False,452,23.0,8.271097811965811,0.5176991150442478,234,452,0
mini_swe_agent_claude_opus_4_8_low,False,15.0,0.0,1,"{""verifier_timeout"": 1}",0,1,0.90258525,1,2.2902922610619467,5.62615272826087,5.62615272826087,0.40707964601769914,False,451,15.0,5.621247373641305,0.4079822616407982,184,452,0
mini_swe_agent_claude_opus_4_8_max,False,37.0,0.0,23,"{""provider_timeout"": 21, ""upstream_provider_error"": 2}",0,23,12.099757,10,12.576522386061946,22.46872774110672,22.46872774110672,0.5597345132743363,False,429,37.0,22.420902614624506,0.5897435897435898,253,452,2
mini_swe_agent_claude_opus_4_8_medium,False,18.0,0.0,0,{},0,0,0,0,3.4438571028761062,7.075560956818182,7.075560956818182,0.48672566371681414,False,452,18.0,7.075560956818182,0.48672566371681414,220,452,0
mini_swe_agent_claude_opus_4_8_xhigh,False,32.0,0.0,5,"{""provider_timeout"": 5}",0,5,2.33469675,3,7.922955080752212,14.737348545267489,14.737348545267489,0.5376106194690266,False,447,32.0,14.727740739711933,0.5436241610738255,243,452,0
mini_swe_agent_claude_sonnet_4_6_high,False,34.0,0.0,1,"{""provider_timeout"": 1}",0,1,0.5532706500000001,1,5.511358256415929,18.452843939999998,18.452843939999998,0.29867256637168144,False,451,34.0,18.44874563888889,0.29933481152993346,135,452,0
mini_swe_agent_claude_sonnet_5_high,False,33.0,0.0,0,{},0,0,0,0,7.425560161197339,15.396115563583475,15.396115563583475,0.4823008849557522,False,452,33.0,15.396115563583475,0.4823008849557522,218,452,0
mini_swe_agent_claude_sonnet_5_low,False,20.0,0.0,3,"{""verifier_timeout"": 3}",0,3,7.752154199999996,1,2.1891933331858406,7.222740048175182,7.222740048175182,0.3030973451327434,False,449,20.0,7.166154981021898,0.3051224944320713,137,452,0
mini_swe_agent_claude_sonnet_5_max,False,40.0,0.0,10,"{""provider_timeout"": 8, ""rate_limit"": 1, ""upstream_provider_error"": 1}",0,10,8.9126178,7,25.83550945586283,49.065757453991594,49.065757453991594,0.5265486725663717,False,442,40.0,49.02830948004201,0.5384615384615384,238,452,0
