comparison_panel_configurations,panel_solving_configurations,stratum,target_model_family,task_name
36,33,common,claude-fable-5,abs-module-cache-flags
36,31,common,claude-fable-5,abs-stepped-slices
36,35,common,claude-fable-5,actionlint-action-pinning-lint
36,26,contested,claude-fable-5,adaptix-name-mapping-aliases
36,28,common,claude-fable-5,aiomonitor-task-snapshots-diff
36,32,common,claude-fable-5,anko-default-function-arguments
36,22,contested,claude-fable-5,anko-typed-variable-bindings
36,31,common,claude-fable-5,arcane-drift-detection-baselines
36,28,common,claude-fable-5,arktype-json-schema-refs-dependencies
36,23,contested,claude-fable-5,awilix-async-container-initialization
36,24,contested,claude-fable-5,bandit-incremental-cache-control
36,27,contested,claude-fable-5,bandit-interprocedural-taint-checks
36,5,rare,claude-fable-5,bandit-structured-nosec-directives
36,25,contested,claude-fable-5,boa-hierarchical-evaluation-cancellation
36,30,common,claude-fable-5,cattrs-partial-structuring-recovery
36,19,contested,claude-fable-5,clack-async-autocomplete-options
36,34,common,claude-fable-5,claude-code-by-agents-recursive-delegation
36,26,contested,claude-fable-5,cliffy-config-file-parsing
36,20,contested,claude-fable-5,csstree-shorthand-expansion-compression
36,22,contested,claude-fable-5,dasel-html-document-format
36,20,contested,claude-fable-5,dateutil-rfc5545-timezone-interop
36,34,common,claude-fable-5,drizzle-orm-window-function-builders
36,30,common,claude-fable-5,dynamodb-toolbox-conditional-attribute-requirements
36,29,common,claude-fable-5,dynamodb-toolbox-lazy-recursive-schemas
36,15,rare,claude-fable-5,effect-sse-httpapi-streaming
36,16,rare,claude-fable-5,eicrud-keyset-pagination-cursor
36,29,common,claude-fable-5,etree-xml-diff-patch
36,15,rare,claude-fable-5,expr-try-catch-errors
36,27,contested,claude-fable-5,fastapi-deprecation-response-headers
36,29,common,claude-fable-5,fastapi-implicit-head-options
36,29,common,claude-fable-5,fd-deterministic-multi-key-sorting
36,32,common,claude-fable-5,geo-shapeindex-serialization
36,28,common,claude-fable-5,go-critic-doc-link-checker
36,30,common,claude-fable-5,go-genai-streamed-function-args
36,27,contested,claude-fable-5,go-git-worktree-merge-conflicts
36,35,common,claude-fable-5,goreleaser-retry-publish-auditing
36,4,rare,claude-fable-5,gql-incremental-graphql-delivery
36,35,common,claude-fable-5,happy-dom-abort-pending-body-reads
36,20,contested,claude-fable-5,happy-dom-deterministic-intersectionobserver
36,13,rare,claude-fable-5,helm-array-merge-strategies
36,33,common,claude-fable-5,helm-unified-manifest-stream
36,34,common,claude-fable-5,httpx-deterministic-cookie-store
36,31,common,claude-fable-5,httpx-multipart-response-parsing
36,29,common,claude-fable-5,httpx-streaming-json-iteration
36,26,contested,claude-fable-5,igel-persist-feature-schema
36,23,contested,claude-fable-5,ink-grid-box-layout
36,30,common,claude-fable-5,ipython-session-bundle-replay
36,18,rare,claude-fable-5,katex-multicolumn-array-spans
36,33,common,claude-fable-5,kcp-go-multiplexed-kcp-streams
36,20,contested,claude-fable-5,kea-atomic-signal-selectors
36,21,contested,claude-fable-5,kgateway-consistent-hash-policy
36,26,contested,claude-fable-5,kombu-single-active-consumer-priority
36,11,rare,claude-fable-5,kombu-virtual-queue-dead-lettering
36,20,contested,claude-fable-5,koota-composite-trait-aspects
36,18,rare,claude-fable-5,koota-deferred-mutation-buffer
36,32,common,claude-fable-5,koota-entity-snapshot-rollback
36,10,rare,claude-fable-5,koota-pair-relation-tracking
36,12,rare,claude-fable-5,koota-query-predicates
36,30,common,claude-fable-5,kysely-window-grouping-helpers
36,23,contested,claude-fable-5,langchain-request-coalescing
36,24,contested,claude-fable-5,mashumaro-flattened-dataclass-fields
36,18,rare,claude-fable-5,meriyah-explicit-resource-declarations
36,28,common,claude-fable-5,mnamer-daemon-watch-lifecycle
36,27,contested,claude-fable-5,mobly-grouped-test-barriers
36,33,common,claude-fable-5,narwhals-rolling-window-suite
36,29,common,claude-fable-5,numba-stencil-boundary-modes
36,0,rare,claude-fable-5,obsidian-linter-auto-table-of-contents
36,26,contested,claude-fable-5,obsidian-linter-link-format-conversion
36,31,common,claude-fable-5,obsidian-linter-scoped-ignore-markers
36,33,common,claude-fable-5,ofetch-per-origin-circuit-breaker
36,22,contested,claude-fable-5,onedump-dump-encryption-pipeline
36,31,common,claude-fable-5,opa-rego-rule-profiling
36,29,common,claude-fable-5,opa-template-string-reconstruction
36,20,contested,claude-fable-5,optique-conditional-option-dependencies
36,7,rare,claude-fable-5,oxvg-structural-selector-preservation
36,16,rare,claude-fable-5,participle-grammar-conflict-analysis
36,26,contested,claude-fable-5,pebble-durability-wait-apis
36,11,rare,claude-fable-5,pest-character-class-coalescing
36,17,rare,claude-fable-5,prometheus-transactional-reload-status
36,28,common,claude-fable-5,prometheus-typed-label-sorting
36,32,common,claude-fable-5,psd-tools-blend-range-api
36,26,contested,claude-fable-5,pwntools-tube-multiplexing
36,16,rare,claude-fable-5,python-statemachine-state-data-scoping
36,35,common,claude-fable-5,query-persist-restored-query-state
36,22,contested,claude-fable-5,quill-shared-toolbar-focus
36,32,common,claude-fable-5,returns-validated-error-accumulation
36,32,common,claude-fable-5,scc-bounded-memory-spilling
36,24,contested,claude-fable-5,scriggo-method-declarations
36,27,contested,claude-fable-5,skrub-duration-encoding
36,34,common,claude-fable-5,sql-formatter-bigquery-pipe-formatting
36,20,contested,claude-fable-5,sqlfmt-create-table-ddl-formatting
36,27,contested,claude-fable-5,sqlite-utils-safe-import-checkpoints
36,21,contested,claude-fable-5,superjson-error-stack-serialization
36,33,common,claude-fable-5,task-task-graph-export
