attempts,comparison_panel_configurations,conditional_failed_spend_usd,conditional_successful_spend_usd,config,failures,harness,imputed_cost_rows,mean_cost_per_attempt_usd,model,observed_cost_rows,pass_rate,pass_rate_rank,provider,rank_displacement,realized_cpsc_rank,realized_cpsc_usd,realized_reliability_tax_share,realized_reliability_tax_usd,reasoning_effort,stratum,successes,target_family_configurations,target_model_family,task_coverage_rate,tasks_in_stratum,tasks_with_any_success,total_cost_usd
82,36,10.220843568627451,11.371421387096774,mini_swe_agent_claude_fable_5_high,51,mini-swe-agent,0,10.655818109756098,claude-fable-5,82,0.3780487804878049,3.0,vertex_ai,0.0,3.0,28.186357580645158,0.5965629345841681,16.814936193548387,high,rare,31,5,claude-fable-5,0.6363636363636364,22,14,873.7770849999999
86,36,4.403849913793104,3.93000675,mini_swe_agent_claude_fable_5_low,58,mini-swe-agent,0,4.249575395348837,claude-fable-5,86,0.32558139534883723,5.0,vertex_ai,-4.0,1.0,13.052267285714288,0.6989023696824387,9.122260535714288,low,rare,28,5,claude-fable-5,0.5909090909090909,22,13,365.46348400000005
85,36,23.32839941,25.4700599,mini_swe_agent_claude_fable_5_max,50,mini-swe-agent,0,24.210259611764705,claude-fable-5,85,0.4117647058823529,1.0,vertex_ai,4.0,5.0,58.796344771428565,0.5668087871956133,33.32628487142857,max,rare,35,5,claude-fable-5,0.6363636363636364,22,14,2057.872067
84,36,7.422586594339623,6.651616903225807,mini_swe_agent_claude_fable_5_medium,53,mini-swe-agent,0,7.13806206547619,claude-fable-5,84,0.36904761904761907,4.0,vertex_ai,-2.0,2.0,19.341845596774192,0.6561022643911938,12.690228693548388,medium,rare,31,5,claude-fable-5,0.6363636363636364,22,14,599.5972135
88,36,14.630381537735849,17.62384772857143,mini_swe_agent_claude_fable_5_xhigh,53,mini-swe-agent,0,15.820964681818182,claude-fable-5,88,0.3977272727272727,2.0,vertex_ai,2.0,4.0,39.77842548571429,0.5569495897996083,22.154577757142857,xhigh,rare,35,5,claude-fable-5,0.7272727272727273,22,16,1392.244892
144,36,7.827305986649061,11.020352807291667,mini_swe_agent_claude_fable_5_high,48,mini-swe-agent,4,9.956003867077465,claude-fable-5,140,0.6666666666666666,2.0,vertex_ai,1.0,3.0,14.934005800616198,0.2620631761883371,3.9136529933245305,high,contested,96,5,claude-fable-5,0.868421052631579,38,33,1433.664556859155
144,36,4.001945461592254,4.452046265822784,mini_swe_agent_claude_fable_5_low,65,mini-swe-agent,4,4.24887576391317,claude-fable-5,140,0.5486111111111112,5.0,vertex_ai,-4.0,1.0,7.744786202575905,0.4251556919231625,3.292739936753121,low,contested,79,5,claude-fable-5,0.7894736842105263,38,30,611.8381100034965
145,36,19.92771363000756,22.476835760416666,mini_swe_agent_claude_fable_5_max,49,mini-swe-agent,4,21.615408281864624,claude-fable-5,141,0.6620689655172414,3.0,vertex_ai,2.0,5.0,32.648272925733025,0.31154594879961744,10.171437165316357,max,contested,96,5,claude-fable-5,0.8157894736842105,38,31,3134.2342008703704
147,36,5.696132885262346,7.355086890804597,mini_swe_agent_claude_fable_5_medium,60,mini-swe-agent,4,6.6779628069098,claude-fable-5,143,0.5918367346938775,4.0,vertex_ai,-2.0,2.0,11.283454397882078,0.3481529120917829,3.92836750707748,medium,contested,87,5,claude-fable-5,0.7894736842105263,38,30,981.6605326157407
152,36,12.228146399642858,14.311134941176471,mini_swe_agent_claude_fable_5_xhigh,50,mini-swe-agent,4,13.625941341987781,claude-fable-5,148,0.6710526315789473,1.0,vertex_ai,3.0,4.0,20.305324352766107,0.2952028397799552,5.994189411589636,xhigh,contested,102,5,claude-fable-5,0.868421052631579,38,33,2071.143083982143
