a_cheaper_bootstrap_share,a_cheaper_replicates,a_higher_pass_rate_bootstrap_share,a_higher_pass_rate_replicates,bca_acceleration,bca_bias_correction,bca_defined_jackknife_clusters,bca_log_cpsc_ratio_ci_high,bca_log_cpsc_ratio_ci_low,config_a,config_b,defined_pass_rate_replicates,defined_replicates,log_cpsc_ratio_ci_high,log_cpsc_ratio_ci_low,pass_rate_difference_ci_high,pass_rate_difference_ci_low,point_log_cpsc_ratio,probability_a_cheaper,probability_tied,tied_cpsc_replicates
0.0,0,0.9989,9989,-0.019874395787554146,-0.008271967640830305,113,0.864571639150478,0.6175679111023156,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_fable_5_low,10000,10000,0.8701379781606209,0.6241702564131131,0.15029307352852578,0.03153371886533875,0.7519484663761722,0.0,0.0,0
1.0,10000,0.3249,3249,0.0314298364586788,0.0461383244820596,113,-0.7326545740486996,-0.9289890814114815,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_fable_5_max,10000,10000,-0.7439299748653648,-0.9384602818353399,0.03778433070924,-0.05869227575711887,-0.8413333970254683,1.0,0.0,0
0.0,0,0.8998,8998,-0.007342036779156251,-0.01905152731704518,113,0.44231653653962083,0.2771685367629356,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_fable_5_medium,10000,10000,0.4442288922133308,0.2803018418760005,0.08275567624482862,-0.01673603750943757,0.3620764268443984,0.0,0.0,0
1.0,10000,0.2991,2991,0.014628993341124209,0.048898731212656386,113,-0.27244076461020306,-0.43714011701751854,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_fable_5_xhigh,10000,10000,-0.27948877824024837,-0.4432739197423291,0.032793371141670066,-0.05939596266692901,-0.36069803132495115,1.0,0.0,0
0.0,0,1.0,10000,0.009276786077969102,0.017547298372150792,113,0.6212932933228593,0.34017144675330085,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_opus_4_8_high,10000,10000,0.6154333159301854,0.33612347116997265,0.23264765284199407,0.10519157280772323,0.4808125022683717,0.0,0.0,0
0.0,0,1.0,10000,0.0025554283076871893,0.030836414058675342,113,1.0262192091130218,0.704633835329904,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_opus_4_8_low,10000,10000,1.0207794320717989,0.6986031047368827,0.35011936276780337,0.20673646837336593,0.8670261569188185,0.0,0.0,0
1.0,10000,0.9994,9994,0.03521344032798365,0.05040456332913908,113,-0.37283156491644326,-0.6314561960353867,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_opus_4_8_max,10000,10000,-0.38779806392793476,-0.6451730741352886,0.15222497162260787,0.03992240689205151,-0.5164139273817195,1.0,0.0,0
0.0,0,1.0,10000,0.007906240468001577,0.031588768951337685,113,0.7822545032314312,0.49589838673540304,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_opus_4_8_medium,10000,10000,0.7748028885245012,0.48865052638241474,0.26194840994093477,0.13576863770447847,0.6369330212327764,0.0,0.0,0
0.9123,9123,1.0,10000,0.025713144015653947,0.04990260675950751,113,0.06119195894275921,-0.22701487043420346,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_opus_4_8_xhigh,10000,10000,0.045150538335067054,-0.23895107967119542,0.20793216938444462,0.07807051446462443,-0.09615309174970191,0.9123,0.0,0
0.999,9990,1.0,10000,0.00650903569221665,0.029331756209256876,113,-0.10592735428237282,-0.5433255742003421,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_sonnet_4_6_high,10000,10000,-0.11575979719875686,-0.5520468281791732,0.4681430976430977,0.30456483768853704,-0.321416632321422,0.999,0.0,0
0.9564,9564,1.0,10000,0.01199228426937725,0.04739300996743081,113,0.03273595332300253,-0.29837802679945996,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_sonnet_5_high,10000,10000,0.019570427191430696,-0.30875091248191017,0.2739245449664894,0.13476686076776878,-0.14053549266995993,0.9564,0.0,0
0.0,0,1.0,10000,-0.000704468805268926,0.026322636310952635,113,0.8277996909258202,0.4029500795079118,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_sonnet_5_low,10000,10000,0.82216530840745,0.39606567141647986,0.4577914162292667,0.30775434974505206,0.6242105028821925,0.0,0.0,0
1.0,10000,1.0,10000,0.006884751882114961,0.03033485385333439,113,-1.1396890012770902,-1.4565038639756789,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_sonnet_5_max,10000,10000,-1.1478576025542588,-1.4634388773084122,0.224301792011529,0.07155297423072049,-1.2988181269693884,1.0,0.0,0
0.0036,36,1.0,10000,-0.0003541074965426612,0.046640189849722236,113,0.4467537733787218,0.08274660382627157,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_sonnet_5_medium,10000,10000,0.4395796092939555,0.07497837756668276,0.364752760869161,0.2147296578983527,0.2658572297484256,0.0036,0.0,0
1.0,10000,1.0,10000,0.017818190340917996,0.053416573903138934,113,-0.4217904784740896,-0.7228748866546728,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_sonnet_5_xhigh,10000,10000,-0.43478089306526435,-0.7352619185810569,0.25676885386209974,0.12291288679034083,-0.5819926156621446,1.0,0.0,0
