a_lower_replicates,a_lower_share,config_a,config_b,defined_replicates,point_ratio_a_over_b,ratio_ci_high,ratio_ci_low,resource_metric
0,0.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_fable_5_low,10000,1.3496164771403392,1.533154141069818,1.1775860939833112,agent_steps_per_success
0,0.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_fable_5_low,10000,2.4820078237493783,2.978267614596615,2.069504932531568,input_tokens_per_success
0,0.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_fable_5_low,10000,2.5195225996395165,3.0451870692514524,2.090632803877294,cache_tokens_per_success
0,0.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_fable_5_low,10000,1.9710459613850497,2.1778578065955743,1.7722388815790795,output_tokens_per_success
0,0.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_fable_5_low,10000,1.4536321871153948,1.7652030718246836,1.197129494119354,agent_seconds_per_success
1,0.0001,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_fable_5_low,10000,1.3804845306766562,1.650534342186033,1.150856586910928,trial_seconds_per_success
0,0.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_fable_5_low,10000,2.496386074209359,3.001754851284859,2.0781255585777862,total_tokens_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_fable_5_max,10000,0.6750759315879363,0.7295982398434921,0.6235814713486096,agent_steps_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_fable_5_max,10000,0.38865066156014977,0.44258339212166253,0.3413592044533867,input_tokens_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_fable_5_max,10000,0.3865339523260679,0.44127919101157964,0.338595106293744,cache_tokens_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_fable_5_max,10000,0.4909439570674463,0.529672876232794,0.45427279062408804,output_tokens_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_fable_5_max,10000,0.5160815715689446,0.5659123118119243,0.468809725849176,agent_seconds_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_fable_5_max,10000,0.5348231936527171,0.5849943354864039,0.4868798796915809,trial_seconds_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_fable_5_max,10000,0.3880902575124053,0.4423597489932339,0.34057840271724726,total_tokens_per_success
8,0.0008,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_fable_5_medium,10000,1.1570955286643863,1.2566804778572471,1.0635592847884558,agent_steps_per_success
0,0.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_fable_5_medium,10000,1.5651566986218508,1.7411001453602095,1.415762709782424,input_tokens_per_success
0,0.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_fable_5_medium,10000,1.5761910932927679,1.7567892349320438,1.4235669146884224,cache_tokens_per_success
0,0.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_fable_5_medium,10000,1.3577529246752282,1.4657601328721617,1.254961865525947,output_tokens_per_success
3,0.0003,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_fable_5_medium,10000,1.2482109047901906,1.3812255407506746,1.118444758325656,agent_seconds_per_success
3,0.0003,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_fable_5_medium,10000,1.2246040805366558,1.348925045543747,1.1036576600221513,trial_seconds_per_success
0,0.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_fable_5_medium,10000,1.5691168820267645,1.7464941664616254,1.4186618022531174,total_tokens_per_success
9997,0.9997,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_fable_5_xhigh,10000,0.8750834793868548,0.9424751219584855,0.811049717454358,agent_steps_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_fable_5_xhigh,10000,0.6720068064015581,0.7401234067931142,0.6070639274494721,input_tokens_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_fable_5_xhigh,10000,0.6706432777747638,0.7393131794171911,0.6052278545101629,cache_tokens_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_fable_5_xhigh,10000,0.7265308905301096,0.7813346936111506,0.6762307781909164,output_tokens_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_fable_5_xhigh,10000,0.7668975517845548,0.8323184506617415,0.7061164947270084,agent_seconds_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_fable_5_xhigh,10000,0.7684804017430321,0.8328818118699283,0.7088796457462846,trial_seconds_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_fable_5_xhigh,10000,0.6716374573595161,0.7399237517057579,0.6065681414523454,total_tokens_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_opus_4_8_high,10000,0.6113630180559938,0.6875070845645277,0.5360866011273376,agent_steps_per_success
9996,0.9996,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_opus_4_8_high,10000,0.7430043257442365,0.8730922849782439,0.6252280142155986,input_tokens_per_success
9996,0.9996,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_opus_4_8_high,10000,0.7395770355548292,0.8704621371170342,0.6213768130964128,cache_tokens_per_success
9941,0.9941,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_opus_4_8_high,10000,0.8634934193396339,0.9690800718986823,0.759498856531212,output_tokens_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_opus_4_8_high,10000,0.7513586836444776,0.8521646725515828,0.654092722862378,agent_seconds_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_opus_4_8_high,10000,0.7501292175940287,0.84762846079562,0.6543226682883974,trial_seconds_per_success
9996,0.9996,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_opus_4_8_high,10000,0.7419348680999607,0.872230742612205,0.6241157492310798,total_tokens_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_opus_4_8_low,10000,0.6471212062137609,0.7497542056751387,0.5481472404334669,agent_steps_per_success
318,0.0318,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_opus_4_8_low,10000,1.18868398147582,1.3967502347151406,0.9911253568462974,input_tokens_per_success
316,0.0316,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_opus_4_8_low,10000,1.1901001975448195,1.3996398756586585,0.9911832782429493,cache_tokens_per_success
247,0.0247,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_opus_4_8_low,10000,1.1778905941377835,1.3663204348285733,1.000456952203955,output_tokens_per_success
6608,0.6608,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_opus_4_8_low,10000,0.9691789298241786,1.1231679822895602,0.8224915999315344,agent_seconds_per_success
8590,0.859,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_opus_4_8_low,10000,0.9222526079744735,1.0680482189504128,0.7836191132977162,trial_seconds_per_success
316,0.0316,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_opus_4_8_low,10000,1.1893134298407757,1.3975717667269032,0.991422208657534,total_tokens_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_opus_4_8_max,10000,0.42076705780095613,0.4655217208100827,0.37817210326151146,agent_steps_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_opus_4_8_max,10000,0.24370846818871703,0.2890613155087007,0.20516635543839445,input_tokens_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_opus_4_8_max,10000,0.24083538724468312,0.28657991394801813,0.20213001972774874,cache_tokens_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_opus_4_8_max,10000,0.3646956928103826,0.40240922829868464,0.3283332893872782,output_tokens_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_opus_4_8_max,10000,0.26145202676297963,0.3016402805959608,0.2244034454352565,agent_seconds_per_success
