attempts,conditional_failed_spend_usd,conditional_successful_spend_usd,config,failures,harness,imputed_cost_rows,mean_cost_per_attempt_usd,model,observed_cost_rows,pass_rate,pass_rate_rank,provider,rank_displacement,realized_cpsc_rank,realized_cpsc_usd,realized_reliability_tax_share,realized_reliability_tax_usd,reasoning_effort,stratum,successes,task_coverage_rate,tasks_in_stratum,tasks_with_any_success,total_cost_usd
62,10.9464997875,12.204694727272727,mini_swe_agent_claude_fable_5_high,40,mini-swe-agent,0,11.392956056451613,claude-fable-5,62,0.3548387096774194,3.0,vertex_ai,20.0,23.0,32.10742161363636,0.6198793265265106,19.902726886363638,high,rare,22,0.5882352941176471,17,10,706.3632755
66,4.669952428571429,4.414264911764706,mini_swe_agent_claude_fable_5_low,49,mini-swe-agent,0,4.604093522727274,claude-fable-5,66,0.25757575757575757,7.0,vertex_ai,2.0,9.0,17.874716029411765,0.7530441935692126,13.460451117647061,low,rare,17,0.47058823529411764,17,8,303.8701725
65,24.39874436585366,27.076500354166665,mini_swe_agent_claude_fable_5_max,41,mini-swe-agent,0,25.38745426923077,claude-fable-5,65,0.36923076923076925,1.0,vertex_ai,31.0,32.0,68.75768864583334,0.6062040349605688,41.681188291666665,max,rare,24,0.5294117647058824,17,9,1650.1845275
65,7.686669645833333,7.124325147058824,mini_swe_agent_claude_fable_5_medium,48,mini-swe-agent,0,7.539594930769231,claude-fable-5,65,0.26153846153846155,6.0,vertex_ai,13.0,19.0,28.827862970588235,0.7528666917028345,21.703537823529413,medium,rare,17,0.5294117647058824,17,9,490.0736705
68,15.138272787234042,20.440697928571428,mini_swe_agent_claude_fable_5_xhigh,47,mini-swe-agent,0,16.77578643382353,claude-fable-5,68,0.3088235294117647,4.0,vertex_ai,25.0,29.0,54.321594166666664,0.623709534998985,33.88089623809524,xhigh,rare,21,0.6470588235294118,17,11,1140.7534775
68,5.500346844827586,4.7578069,mini_swe_agent_claude_opus_4_8_high,58,mini-swe-agent,0,5.391149794117647,claude-opus-4-8,68,0.14705882352941177,22.0,anthropic,3.0,25.0,36.6598186,0.8702173910920552,31.9020117,high,rare,10,0.4117647058823529,17,7,366.598186
68,3.05330285,2.35265021875,mini_swe_agent_claude_opus_4_8_low,60,mini-swe-agent,0,2.970873128676471,claude-opus-4-8,68,0.11764705882352941,26.5,anthropic,-10.5,16.0,25.25242159375,0.906834668904297,22.899771375,low,rare,8,0.29411764705882354,17,5,202.01937275
65,15.121318306603774,14.713428708333334,mini_swe_agent_claude_opus_4_8_max,53,mini-swe-agent,0,15.046015611538461,claude-opus-4-8,65,0.18461538461538463,15.0,anthropic,20.0,35.0,81.49925122916666,0.8194654737752027,66.78582252083334,max,rare,12,0.29411764705882354,17,5,977.99101475
68,4.520526580357143,4.324331083333334,mini_swe_agent_claude_opus_4_8_medium,56,mini-swe-agent,0,4.485903845588235,claude-opus-4-8,68,0.17647058823529413,17.0,anthropic,0.0,17.0,25.420121791666663,0.8298855088589329,21.095790708333336,medium,rare,12,0.47058823529411764,17,8,305.04146149999997
68,10.321436267857143,8.252428979166666,mini_swe_agent_claude_opus_4_8_xhigh,56,mini-swe-agent,0,9.956317334558824,claude-opus-4-8,68,0.17647058823529413,17.0,anthropic,13.0,30.0,56.419131562500006,0.8537299538185059,48.16670258333334,xhigh,rare,12,0.4117647058823529,17,7,677.02957875
