config,minimum_pass_rate,selection_count,selection_share_all_replicates,selection_share_when_defined
mini_swe_agent_gpt_5_6_terra_medium,0.0,5345,0.5345,0.5345
mini_swe_agent_gpt_5_6_luna_high,0.0,1878,0.1878,0.1878
mini_swe_agent_gpt_5_6_terra_low,0.0,1703,0.1703,0.1703
mini_swe_agent_gpt_5_6_luna_medium,0.0,1073,0.1073,0.1073
mini_swe_agent_gpt_5_6_luna_low,0.0,1,0.0001,0.0001
mini_swe_agent_gpt_5_6_terra_medium,0.05,5345,0.5345,0.5345
mini_swe_agent_gpt_5_6_luna_high,0.05,1878,0.1878,0.1878
mini_swe_agent_gpt_5_6_terra_low,0.05,1703,0.1703,0.1703
mini_swe_agent_gpt_5_6_luna_medium,0.05,1074,0.1074,0.1074
mini_swe_agent_gpt_5_6_terra_medium,0.1,5345,0.5345,0.5345
mini_swe_agent_gpt_5_6_luna_high,0.1,1878,0.1878,0.1878
mini_swe_agent_gpt_5_6_terra_low,0.1,1703,0.1703,0.1703
mini_swe_agent_gpt_5_6_luna_medium,0.1,1074,0.1074,0.1074
mini_swe_agent_gpt_5_6_terra_medium,0.15,5783,0.5783,0.5783
mini_swe_agent_gpt_5_6_luna_high,0.15,2006,0.2006,0.2006
mini_swe_agent_gpt_5_6_terra_low,0.15,1894,0.1894,0.1894
mini_swe_agent_gpt_5_6_luna_medium,0.15,317,0.0317,0.0317
mini_swe_agent_gpt_5_6_terra_medium,0.2,5982,0.5982,0.5982
mini_swe_agent_gpt_5_6_luna_high,0.2,2025,0.2025,0.2025
mini_swe_agent_gpt_5_6_terra_low,0.2,1992,0.1992,0.1992
mini_swe_agent_gpt_5_6_luna_medium,0.2,1,0.0001,0.0001
mini_swe_agent_gpt_5_6_terra_medium,0.25,6238,0.6238,0.6238
mini_swe_agent_gpt_5_6_luna_high,0.25,2200,0.22,0.22
mini_swe_agent_gpt_5_6_terra_low,0.25,1562,0.1562,0.1562
mini_swe_agent_gpt_5_6_terra_medium,0.3,7112,0.7112,0.7112
mini_swe_agent_gpt_5_6_luna_high,0.3,2664,0.2664,0.2664
mini_swe_agent_gpt_5_6_terra_low,0.3,221,0.0221,0.0221
mini_swe_agent_gpt_5_6_terra_high,0.3,3,0.0003,0.0003
mini_swe_agent_gpt_5_6_luna_high,0.35,5278,0.5278,0.5278
mini_swe_agent_gpt_5_6_terra_medium,0.35,4680,0.468,0.468
mini_swe_agent_gpt_5_6_terra_high,0.35,39,0.0039,0.0039
mini_swe_agent_gpt_5_6_sol_low,0.35,2,0.0002,0.0002
mini_swe_agent_gpt_5_6_terra_low,0.35,1,0.0001,0.0001
mini_swe_agent_gpt_5_6_luna_high,0.4,8345,0.8345,0.8345
mini_swe_agent_gpt_5_6_terra_high,0.4,906,0.0906,0.0906
mini_swe_agent_gpt_5_6_terra_medium,0.4,721,0.0721,0.0721
mini_swe_agent_gpt_5_6_sol_low,0.4,28,0.0028,0.0028
mini_swe_agent_gpt_5_6_terra_high,0.45,5689,0.5689,0.5689
mini_swe_agent_gpt_5_6_luna_high,0.45,4043,0.4043,0.4043
mini_swe_agent_gpt_5_6_sol_low,0.45,190,0.019,0.019
mini_swe_agent_gpt_5_6_luna_xhigh,0.45,52,0.0052,0.0052
mini_swe_agent_gpt_5_6_terra_medium,0.45,21,0.0021,0.0021
mini_swe_agent_gpt_5_6_sol_medium,0.45,5,0.0005,0.0005
mini_swe_agent_gpt_5_6_terra_high,0.5,8176,0.8176,0.8176
mini_swe_agent_gpt_5_6_luna_xhigh,0.5,1027,0.1027,0.1027
mini_swe_agent_gpt_5_6_luna_high,0.5,453,0.0453,0.0453
mini_swe_agent_gpt_5_6_sol_medium,0.5,169,0.0169,0.0169
mini_swe_agent_gpt_5_6_sol_low,0.5,167,0.0167,0.0167
mini_swe_agent_gpt_5_6_terra_xhigh,0.5,5,0.0005,0.0005
mini_swe_agent_gpt_5_6_luna_max,0.5,3,0.0003,0.0003
mini_swe_agent_gpt_5_6_luna_xhigh,0.55,3783,0.3783,0.3783
mini_swe_agent_gpt_5_6_terra_high,0.55,3515,0.3515,0.3515
mini_swe_agent_gpt_5_6_sol_medium,0.55,2315,0.2315,0.2315
mini_swe_agent_gpt_5_6_luna_max,0.55,208,0.0208,0.0208
mini_swe_agent_gpt_5_6_terra_xhigh,0.55,153,0.0153,0.0153
mini_swe_agent_gpt_5_6_sol_low,0.55,13,0.0013,0.0013
mini_swe_agent_gpt_5_6_luna_high,0.55,7,0.0007,0.0007
mini_swe_agent_gpt_5_6_sol_high,0.55,6,0.0006,0.0006
mini_swe_agent_gpt_5_6_sol_medium,0.6,4261,0.4261,0.42614261426142613
mini_swe_agent_gpt_5_6_luna_max,0.6,2832,0.2832,0.2832283228322832
mini_swe_agent_gpt_5_6_luna_xhigh,0.6,1639,0.1639,0.1639163916391639
mini_swe_agent_gpt_5_6_terra_xhigh,0.6,756,0.0756,0.07560756075607561
mini_swe_agent_gpt_5_6_terra_high,0.6,296,0.0296,0.029602960296029605
mini_swe_agent_gpt_5_6_sol_high,0.6,204,0.0204,0.0204020402040204
mini_swe_agent_gpt_5_6_sol_xhigh,0.6,7,0.0007,0.0007000700070007
mini_swe_agent_gpt_5_5_medium,0.6,3,0.0003,0.00030003000300030005
mini_swe_agent_claude_fable_5_medium,0.6,1,0.0001,0.00010001000100010001
mini_swe_agent_gpt_5_6_luna_max,0.65,5732,0.5732,0.5746942049328253
mini_swe_agent_gpt_5_6_sol_high,0.65,1895,0.1895,0.18999398435933426
mini_swe_agent_gpt_5_6_sol_medium,0.65,1288,0.1288,0.12913575295769
mini_swe_agent_gpt_5_6_terra_xhigh,0.65,423,0.0423,0.042410266693402844
mini_swe_agent_gpt_5_6_sol_xhigh,0.65,279,0.0279,0.027972729095648685
mini_swe_agent_gpt_5_6_luna_xhigh,0.65,104,0.0104,0.010427110487266893
mini_swe_agent_gpt_5_6_sol_max,0.65,80,0.008,0.008020854220974533
mini_swe_agent_gpt_5_6_terra_max,0.65,76,0.0076,0.007619811509925807
mini_swe_agent_claude_fable_5_medium,0.65,39,0.0039,0.0039101664327250854
mini_swe_agent_claude_fable_5_high,0.65,27,0.0027,0.0027070382995789052
mini_swe_agent_claude_fable_5_xhigh,0.65,19,0.0019,0.0019049528774814518
mini_swe_agent_claude_fable_5_low,0.65,4,0.0004,0.0004010427110487267
mini_swe_agent_claude_fable_5_max,0.65,3,0.0003,0.000300782033286545
mini_swe_agent_gpt_5_6_terra_high,0.65,3,0.0003,0.000300782033286545
mini_swe_agent_gpt_5_5_xhigh,0.65,2,0.0002,0.00020052135552436334
mini_swe_agent_gpt_5_6_sol_high,0.7,2985,0.2985,0.3380903839619436
mini_swe_agent_gpt_5_6_luna_max,0.7,1837,0.1837,0.20806433344659644
mini_swe_agent_gpt_5_6_sol_xhigh,0.7,1636,0.1636,0.1852984482953902
mini_swe_agent_gpt_5_6_sol_max,0.7,1205,0.1205,0.13648204779703252
mini_swe_agent_gpt_5_6_terra_max,0.7,423,0.0423,0.047910295616717634
mini_swe_agent_claude_fable_5_xhigh,0.7,244,0.0244,0.02763619889002152
mini_swe_agent_claude_fable_5_high,0.7,191,0.0191,0.02163325404915619
mini_swe_agent_claude_fable_5_max,0.7,115,0.0115,0.013025257673575716
mini_swe_agent_claude_fable_5_medium,0.7,78,0.0078,0.008834522595990485
mini_swe_agent_gpt_5_6_sol_medium,0.7,53,0.0053,0.00600294484086533
mini_swe_agent_gpt_5_5_xhigh,0.7,35,0.0035,0.003964208857175218
mini_swe_agent_gpt_5_6_terra_xhigh,0.7,24,0.0024,0.0027183146449201497
