config,minimum_pass_rate,selection_count,selection_share_all_replicates,selection_share_when_defined
mini_swe_agent_gpt_5_6_sol_high,0.7,2894,0.2894,0.3289757872001819
mini_swe_agent_gpt_5_6_luna_max,0.7,1779,0.1779,0.2022280322837331
mini_swe_agent_gpt_5_6_sol_xhigh,0.7,1759,0.1759,0.1999545299533932
mini_swe_agent_gpt_5_6_sol_max,0.7,1306,0.1306,0.14845970217119472
mini_swe_agent_gpt_5_6_terra_max,0.7,437,0.0437,0.04967602591792657
mini_swe_agent_claude_fable_5_xhigh,0.7,183,0.0183,0.020802546322609982
mini_swe_agent_claude_fable_5_high,0.7,162,0.0162,0.018415368875753096
mini_swe_agent_claude_fable_5_max,0.7,81,0.0081,0.009207684437876548
mini_swe_agent_gpt_5_6_sol_medium,0.7,73,0.0073,0.008298283505740594
mini_swe_agent_claude_fable_5_medium,0.7,69,0.0069,0.007843583039672615
mini_swe_agent_gpt_5_5_xhigh,0.7,37,0.0037,0.004205979311128794
mini_swe_agent_gpt_5_6_terra_xhigh,0.7,13,0.0013,0.0014777765147209276
mini_swe_agent_gpt_5_5_high,0.7,2,0.0002,0.00022735023303398886
mini_swe_agent_gpt_5_6_luna_xhigh,0.7,2,0.0002,0.00022735023303398886
mini_swe_agent_gpt_5_6_sol_max,0.75,1302,0.1302,0.43342210386151797
mini_swe_agent_gpt_5_6_sol_xhigh,0.75,608,0.0608,0.20239680426098536
mini_swe_agent_gpt_5_6_sol_high,0.75,457,0.0457,0.15213049267643142
mini_swe_agent_gpt_5_6_terra_max,0.75,190,0.019,0.06324900133155792
mini_swe_agent_claude_fable_5_xhigh,0.75,168,0.0168,0.0559254327563249
mini_swe_agent_claude_fable_5_max,0.75,126,0.0126,0.041944074567243674
mini_swe_agent_claude_fable_5_high,0.75,73,0.0073,0.02430093209054594
mini_swe_agent_gpt_5_6_luna_max,0.75,53,0.0053,0.017643142476697737
mini_swe_agent_gpt_5_5_xhigh,0.75,14,0.0014,0.004660452729693742
mini_swe_agent_claude_fable_5_medium,0.75,10,0.001,0.003328894806924101
mini_swe_agent_gpt_5_6_sol_medium,0.75,2,0.0002,0.0006657789613848203
mini_swe_agent_gpt_5_6_terra_xhigh,0.75,1,0.0001,0.00033288948069241014
